country,authority,website
GB,Bank of England,https://www.bankofengland.co.uk/
SG,Monetary Authority of Singapore,https://www.mas.gov.sg/
EU,European Central Bank,https://www.ecb.europa.eu/
US,Financial Industry Regulatory Authority (FINRA),https://www.finra.org/
CH,Swiss Financial Market Supervisory Authority (FINMA),https://www.finma.ch/
IN,Reserve Bank of India,https://www.rbi.org.in/
CA,Office of the Superintendent of Financial Institutions (OSFI),https://www.osfi-bsif.gc.ca/
AU,Australian Securities & Investments Commission (ASIC),https://asic.gov.au/
